id,title,slug,brand,confidence,categoryPath,sku,importFile,priceUae,priceKsa,compareAtPriceUae,compareAtPriceKsa,processor,ram,storage,condition,imageCount,blockers,notes
prod_import_xlsx_1776538003641_21,HP 250 G6 Laptop,hp-250-g6,HP,low,electronics/laptops,EX-DRAFT-HP-250-G6,exshopi_full_350_products_with_specs.xlsx,950,,950,,Core i5-8365U,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_22,HP 250 G7 Laptop,hp-250-g7,HP,low,electronics/laptops,EX-DRAFT-HP-250-G7,exshopi_full_350_products_with_specs.xlsx,1100,,1100,,Core i5-10310U,16GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_23,HP 255 G7 Laptop,hp-255-g7,HP,low,electronics/laptops,EX-DRAFT-HP-255-G7,exshopi_full_350_products_with_specs.xlsx,1100,,1100,,Core i5-10310U,16GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_24,HP 255 G8 Laptop,hp-255-g8,HP,low,electronics/laptops,EX-DRAFT-HP-255-G8,exshopi_full_350_products_with_specs.xlsx,1200,,1200,,Core i5-1135G7,16GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_25,HP 15-da series Laptop,hp-15-da-series,HP,low,electronics/laptops,EX-DRAFT-HP-15-DA-SERIES,exshopi_full_350_products_with_specs.xlsx,900,,900,,Core i5,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|ambiguous_title|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_26,HP 15-dw series Laptop,hp-15-dw-series,HP,low,electronics/laptops,EX-DRAFT-HP-15-DW-SERIES,exshopi_full_350_products_with_specs.xlsx,900,,900,,Core i5,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|ambiguous_title|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_27,HP 15s-fq series Laptop,hp-15s-fq-series,HP,low,electronics/laptops,EX-DRAFT-HP-15S-FQ-SERIES,exshopi_full_350_products_with_specs.xlsx,900,,900,,Core i5,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|ambiguous_title|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_28,HP 14s series Laptop,hp-14s-series,HP,low,electronics/laptops,EX-DRAFT-HP-14S-SERIES,exshopi_full_350_products_with_specs.xlsx,900,,900,,Core i5,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|ambiguous_title|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_29,HP 14-dq series Laptop,hp-14-dq-series,HP,low,electronics/laptops,EX-DRAFT-HP-14-DQ-SERIES,exshopi_full_350_products_with_specs.xlsx,900,,900,,Core i5,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|ambiguous_title|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_30,HP Notebook 15 Laptop,hp-notebook-15,HP,low,electronics/laptops,EX-DRAFT-HP-NOTEBOOK-15,exshopi_full_350_products_with_specs.xlsx,900,,900,,Core i5,8GB,256GB,Refurbished,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_31,HP Pavilion 14-ce Laptop,hp-pavilion-14-ce,HP,low,electronics/laptops,EX-DRAFT-HP-PAVILION-14-CE,exshopi_full_350_products_with_specs.xlsx,1250,,1250,,Core i5-8265U,8GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_32,HP Pavilion 14-dv Laptop,hp-pavilion-14-dv,HP,low,electronics/laptops,EX-DRAFT-HP-PAVILION-14-DV,exshopi_full_350_products_with_specs.xlsx,1250,,1250,,Core i5-1135G7,8GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_33,HP Pavilion 15-cs Laptop,hp-pavilion-15-cs,HP,low,electronics/laptops,EX-DRAFT-HP-PAVILION-15-CS,exshopi_full_350_products_with_specs.xlsx,1250,,1250,,Core i5-8265U,8GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_34,HP Pavilion 15-eg Laptop,hp-pavilion-15-eg,HP,low,electronics/laptops,EX-DRAFT-HP-PAVILION-15-EG,exshopi_full_350_products_with_specs.xlsx,1450,,1450,,Core i5-1235U,8GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_35,HP Pavilion 15-eh Laptop,hp-pavilion-15-eh,HP,low,electronics/laptops,EX-DRAFT-HP-PAVILION-15-EH,exshopi_full_350_products_with_specs.xlsx,1250,,1250,,Ryzen 5,8GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_36,HP Pavilion x360 14 Laptop,hp-pavilion-x360-14,HP,low,electronics/laptops,EX-DRAFT-HP-PAVILION-X360-14,exshopi_full_350_products_with_specs.xlsx,1400,,1400,,Core i5,8GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_37,HP Pavilion x360 15 Laptop,hp-pavilion-x360-15,HP,low,electronics/laptops,EX-DRAFT-HP-PAVILION-X360-15,exshopi_full_350_products_with_specs.xlsx,1400,,1400,,Core i5,8GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_38,HP Envy x360 13 Laptop,hp-envy-x360-13,HP,low,electronics/laptops,EX-DRAFT-HP-ENVY-X360-13,exshopi_full_350_products_with_specs.xlsx,1900,,1900,,Core i7-1165G7,16GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_39,HP Envy x360 15 Laptop,hp-envy-x360-15,HP,low,electronics/laptops,EX-DRAFT-HP-ENVY-X360-15,exshopi_full_350_products_with_specs.xlsx,1900,,1900,,Core i7-1165G7,16GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
prod_import_xlsx_1776538003641_40,HP Envy 13 Laptop,hp-envy-13,HP,low,electronics/laptops,EX-DRAFT-HP-ENVY-13,exshopi_full_350_products_with_specs.xlsx,1900,,1900,,Core i7-1165G7,16GB,512GB,Renewed,0,missing_images|missing_ksa_price|missing_ksa_compare_at_price|missing_top_level_category_fields|placeholder_copy|weak_model_signal,imported_from:exshopi_full_350_products_with_specs.xlsx
